Ca,Mg,H + Al,Al3+,S,Fe,Mn
2.421022792478503,2.568325927132202,-1.0002918046269647,-1.4273520930616477,-1.5089064978942508,2.8198299488843133,0.34464395350430593
-0.6422525478608773,-0.6613054782436207,1.634109163469802,0.8620641354134705,1.1956513166778222,0.3128382770038827,1.524033908462007
-0.5146160753467365,-0.6613054782436207,0.6681621418343209,1.1164437163551504,1.1546731679721847,0.8913748166685974,1.4060949129662368
2.0381133749360805,2.1069500120785127,-1.0002918046269647,-1.4273520930616477,-1.5089064978942508,1.2770658431117405,1.347125415218352
-0.25934313031845474,-0.6613054782436207,-0.12215814859470908,-0.15545418835324867,0.4580446399763477,0.3128382770038827,0.7574304377395014
2.1657498474502215,2.1069500120785127,-1.0002918046269647,-1.4273520930616477,-0.15662759060821435,-0.07285274943926046,0.8753694332352714
-0.897525492889159,-0.6613054782436207,0.22909531381819315,0.8620641354134705,1.277607614089097,0.11999276378231112,1.2291864197225817
-0.5146160753467365,-0.6613054782436207,0.6681621418343209,0.3533049735301109,1.6873891011454718,-0.07285274943926046,0.9343389309831565
-0.3869796028325956,-0.6613054782436207,0.22909531381819315,0.09892539258843114,1.277607614089097,0.11999276378231112,0.9343389309831565
-0.1317066578043139,-0.1999295631899318,1.634109163469802,0.6076845544717907,-0.3615183341364017,1.6627568695548838,0.34464395350430593
-0.5146160753467365,-0.1999295631899318,-0.12215814859470908,0.09892539258843114,-0.4024964828420392,0.6985293034470259,-1.3065019834364755
-0.769889020375018,-0.6613054782436207,1.634109163469802,0.8620641354134705,-0.5254309289589516,0.6985293034470259,-1.3654714811843607
-0.3869796028325956,-0.1999295631899318,0.22909531381819315,0.3533049735301109,0.9907605731496348,0.11999276378231112,-1.3065019834364755
-0.6422525478608773,-0.1999295631899318,2.1609893570891554,1.62520287823851,1.0727168705609098,1.084220329890169,-1.3654714811843607
-0.6422525478608773,-0.1999295631899318,0.22909531381819315,0.8620641354134705,0.0072850042143355245,1.084220329890169,-1.3654714811843607
-0.25934313031845474,0.2614463518637572,0.6681621418343209,-0.15545418835324867,-1.6318409440111632,2.43413892244117,-1.3654714811843607
-0.3869796028325956,-0.6613054782436207,0.22909531381819315,0.6076845544717907,-1.263037605660426,1.6627568695548838,-1.3654714811843607
-0.897525492889159,-0.6613054782436207,0.6681621418343209,0.6076845544717907,-0.566409077664589,0.3128382770038827,-1.3654714811843607
-0.769889020375018,-0.6613054782436207,0.6681621418343209,1.1164437163551504,-0.9761905647209638,1.084220329890169,-1.3065019834364755
-0.769889020375018,-0.6613054782436207,0.6681621418343209,0.09892539258843114,-1.2220594569547887,0.3128382770038827,-1.3654714811843607
-0.25934313031845474,0.2614463518637572,-0.4734116110076113,0.3533049735301109,-0.5254309289589516,0.6985293034470259,-0.8347460014533952
-0.1317066578043139,0.7228222669174461,0.22909531381819315,-0.15545418835324867,-1.2220594569547887,0.6985293034470259,-1.0116544946970503
0.12356628722396777,-0.1999295631899318,0.6681621418343209,1.1164437163551504,1.441520208911647,0.11999276378231112,-0.9526849969491653
